WardCode,WardName,Borough,Year,Month,Predicted_Burglaries,Lower_Bound,Upper_Bound,Classification
E05013980,Rush Green & Crowlands,E09000016,2019,3,9,3.8006835,14.112005,Medium
E05013730,Rushey Green,E09000023,2019,3,15,10.135452,20.446775,High
E05011113,Rye Lane,E09000028,2019,3,12,6.602629,16.913952,Medium
E05011478,Sanderstead,E09000008,2019,3,10,4.89796,15.209282,Medium
E05013747,Sands End,E09000013,2019,3,6,1.1984081,11.50973,Medium
E05011479,Selhurst,E09000008,2019,3,6,0.5252218,10.836544,Medium
E05011480,Selsdon & Addington Village,E09000008,2019,3,7,2.112648,12.42397,Medium
E05011481,Selsdon Vale & Forestdale,E09000008,2019,3,3,0.0,8.421563,Low
E05011251,Seven Kings,E09000026,2019,3,6,1.2802238,11.591546,Medium
E05013598,Seven Sisters,E09000014,2019,3,6,1.310432,11.621754,Medium
E05009382,Shacklewell,E09000012,2019,3,7,2.0659423,12.377264,Medium
E05009332,Shadwell,E09000030,2019,3,8,2.8788571,13.19018,Medium
E05014019,Shaftesbury & Queenstown,E09000032,2019,3,8,3.189136,13.500458,Medium
E05013748,Shepherd's Bush Green,E09000013,2019,3,3,0.0,8.392632,Low
E05011482,Shirley North,E09000008,2019,3,6,0.5308137,10.842136,Medium
E05011483,Shirley South,E09000008,2019,3,7,1.6181426,11.929464,Medium
E05014089,Shooters Hill,E09000011,2019,3,9,4.24383,14.555153,Medium
E05014005,Shortlands & Park Langley,E09000006,2019,3,8,3.1548352,13.466158,Medium
E05011230,Sidcup,E09000004,2019,3,8,3.2106347,13.521957,Medium
E05011231,Slade Green & Northend,E09000004,2019,3,8,3.274219,13.585541,Medium
E05013536,South Acton,E09000009,2019,3,9,3.5134292,13.824751,Medium
E05014020,South Balham,E09000032,2019,3,8,2.9633956,13.274717,Medium
E05013763,South Beddington & Roundshaw,E09000029,2019,3,8,2.8543944,13.165716,Medium
E05011116,South Bermondsey,E09000028,2019,3,11,6.104444,16.415766,Medium
E05011484,South Croydon,E09000008,2019,3,6,1.0896344,11.400957,Medium
E05013670,South Hampstead,E09000007,2019,3,12,6.6134753,16.924797,Medium
E05013984,South Hornchurch,E09000016,2019,3,6,0.4197526,10.731075,Medium
E05011485,South Norwood,E09000008,2019,3,13,7.385734,17.697056,Medium
E05013786,South Richmond,E09000027,2019,3,6,0.94367695,11.254999,Medium
E05013579,South Ruislip,E09000017,2019,3,8,2.5762944,12.887617,Medium
E05013599,South Tottenham,E09000014,2019,3,11,5.368631,15.679953,Medium
E05013787,South Twickenham,E09000027,2019,3,4,0.0,9.04465,Low
